id,text,labels
1528,chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .,[27]
2004,per đừng ảo tưởng nhé,"[25, 26]"
1626,per ly trà sen của anh đem qua có ngày nó thành như v đó 😭😭 hức hức ...,"[21, 22]"
22039,"Huyền Diệp  đúng rồi, nhất là các thể loại vào cửa hàng tiện lợi hay siêu thị ấy, thay vì tự trông con lại còn bắt nhân viên trông dùm nữa, con làm hư đồ, check cam rõ ràng còn đổ thừa do nv cửa hàng đc mà
🤣🤣🤣🤣","[0, 25, 24]"
tik023337,tự hào vì mình là con cháu Việt Nam 🇻🇳,[7]
x000751,@july107193 quá đúng,[11]
15275,May mắn quá!,"[1, 2, 10]"
12547,"Tính của thuận là do giáo dục từ nhỏ, bà Trúc chồng mất sớm nên tình yêu thương dồn hết vào hai đứa con nhưng sai cách.Bà cứ nghĩ là hy sinh,bao bọc mà không dạy con biết chia sẻ khó khăn , trách nhiệm với mình nên đã tạo cho con tính ích kỷ, vô ơn và thói ỷ lại.",[26]
664,vl gần nhà,[13]
5347,"miễn sao có tiền ăn bánh trung thu , mua lồng đèn , đi du lịch =))))","[1, 2]"
tik018767,mặt tớ có sẹo thật sự rất tự tii,"[21, 19]"
756,hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),"[0, 12, 14]"
27268,"Con manocanh trong mấy shop quần áo á, hồi nhỏ mình bé xíu đứng nhìn mấy con đó vừa sợ vừa cảm thấy nó có thể tự cử động được nữa =))))","[14, 16]"
tik001083,Khu vé 😭😭🙏,[0]
3606,"hay ta , hay ta","[1, 2]"
tik017593,"mặt đen
mụn
lỗ chân lông
tóc xù tự nhiên
răng 9630
ai hiểu ko","[14, 19, 23]"
thr000361,"Đi học, đi làm, khi bản thân tốt đẹp hơn. Tự dưng hỏi chính mình rằng sao hồi đó sao mình có thể làm mấy chiện khùng đin, mất mặt quá zị :)))","[18, 19]"
tik014061,t ngại giao tiếp+nch nhạt + kh biết nói gì + nói cx kh ai để í,"[17, 19, 21]"
x000798,"@ngocbon1501 điều này t công nhận nè, cảm giác 5 năm trước ko biết vượt qua thế nào giờ lại nhẹ tênh","[12, 10]"
you000978,Chúc anh tuổi 30 thật rực rỡ ❤ Những video của anh luôn mang nhiều giá trị cho những người trẻ như em hay nếu không nói quá có thể thay đổi được cuộc đời ai đó. Nên anh cứ yên tâm rằng &quot;lọ may mắn&quot; của anh sẽ tiếp tục được tích đầy và nhiều thành công sẽ đến với anh không chỉ kênh youtube này đâu. Cảm ơn anh rất nhiều 🙏,"[3, 9]"
tik012300,hối hận nhất trong đời t thua tx 300tr🥺,[18]
tik014818,"da ngăm
mặt mụn
quầng thâm mắt
nọng cằm
huh...tự ti đến mức không dám tháo khẩu trang","[21, 19]"
17259,"Chí Cương đúng là k nên đánh giá qua những gì mình thấy trước mắt
Vậy bạn thấy gì ở bức ảnh
Bạn thấy đc sự mệt mỏi thấy đc sự áp lực à
Hay thằng trong ảnh tâm sự với bạn. 
🤣🤣 Ôi từ khi nào mà 1 bức ảnh ngồi ghế đc quy nạp là áp lực cột sống z","[25, 26]"
tik014704,Chỉ cần một nụ cười tự tin mọi chuyện sẽ vượt qua😜,"[5, 2]"
845,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,"[1, 0]"
tik021277,Uk t ngại mak🤡👍,"[0, 11, 17]"
tik021545,Và chợt nhận ra chẳng có đứa bạn nào cùng tần số với mình...,[12]
tik011820,đều tới hồi hần nhất là lấy chồng nếu thời gian quya lại tôi sẽ không cái lời ng đã sinh ra tôi 🥹🥹,"[18, 4]"
13157,mai di lam tipp dui,"[21, 20]"
1720,đm tao biết trước cả sự việc kiểu lìn gì cũng có nhện nhảy lên màn hình . vì mấy năm trước cũng có 1 thể loại giống như vậy . đm hú nhồn,"[16, 13, 23, 25]"
tik005445,😂😂😂 này gọi là tiền vô như nước 😁😁😁 e,"[0, 1]"
tik019229,Yess❗️,[11]
17166,Thương be quá .có gắng lên con,"[6, 21, 3]"
29688,"Trịnh Tiến Quý mở cửa có nhiều nguyên nhân mà. Có thể do thời tiết mát, xe điện đâu toả nhiệt nhiều như xe xăng, dầu đâu. Mình đi vf5 mở điều hoà lạnh ngắt. Chưa khi nào phàn nàn về điều hoà của nó",[27]
tik018357,hayy mắc cỡ,[19]
142,đỗ ngay góc cua thế có ngày sứt mõm ??,"[24, 25]"
5308,"tại như vầy nên bố tao không cho đi cùng . cụ bảo có năm còn lăn cả xuống ruộng , trèo lên mái nhà của người ta để đi ??","[20, 25]"
you001267,Trách nhiệm với bản thân,[7]
30847,Thanh Thanh Nhàn này mà tai nạn chắc lên thái nguyên xử. Luật như luật ấy. Mấy cái nguy hiểm thì éo tăng nặng lên,[25]
tik015872,Cười thôi cũng ngại☺️,[19]
tik011498,em sai r em xinloi... 🤍,"[18, 19]"
you001639,Tập trung cố gắng ở thời điểm hiện tại,[5]
26570,Vũ Phạm Đình Thái A dám làm konten này ko A thái 😂,[0]
tik023372,tự hào khi là người việt nam ❤❤🇻🇳🇻🇳,"[7, 3]"
tik018942,Sự thật đó các bạn oiiii,[12]
29,per dạo này ít tung tăng hơn xưa nên hơi trầm cảm dồi chăng 😳,[6]
11785,Hãy để nhà là nơi bão dừng ngoài cánh cửa 🙂,"[2, 5, 10]"
1323,ước là 1 ngày mai thức dậy dụi mắt mãi chưa hết tuổi thanh xuân =)))),"[1, 4]"
14717,Vì tiền mà họ kg cần a c e,"[20, 21]"
4194,"bỏ qua mấy dòg chữ , nhìn khuôn mặt con bé không thể nhịn cười per :))",[0]
26941,"Đúng kiểu nốn lừng mong manh, ko còn từ ngữ nào để diễn tả cái sự thú vật của con này","[0, 23, 25]"
1413,chị ấy được đào tạo qua lớp người nhện bắn tơ nên không biết sợ 😂😂😂,"[0, 2]"
tik015767,ai cx xứng cs tình yêu đẹp mà ??? đâu cs qtrong nhan sắc?,"[5, 3]"
tik023921,từ... từ... 🗣🗣🗣,[15]
5782,phim chuẩn chưa này =)))),[0]
you002657,Một video tuyệt vời quá !!!,"[2, 1]"
16676,"Bắt thềnh nha, làm tui đọc rồi nước mắt rưng rưng, thềnh cho tui 😭😭","[21, 22]"
tik005372,"chúc anh chị vạn sự như ý, chúc gà lang thang nhiều sức khỏe",[6]
tik014559,Ýe 🤡👍,"[0, 11]"
6299,anh tao làm trò đùa cho chúng mày à :'(,"[24, 21]"
17145,"Mình thích suy nghĩ các bé xuống nhân gian này để kiểm tra sự nhân ái, lòng trắc ẩn ở con người của bạn. Cám ơn bạn đã & đang hoàn thành các “bài kiểm tra” thật xuất sắc","[3, 8, 9]"
tik023398,💖VIỆT NAM of I,[3]
17244,"1 phần áp lực vì điểm số , một phần vì áp lực từ bạn bè, và có lẽ điều gây áp lực nhất lại đến từ gđ","[17, 20, 21]"
527,mong là có bảo hiểm,"[4, 5]"
19407,Pony Ánh  tấm gương,[27]
tik000476,@Ngocc Chamm @@Gh @@win❄️@@nắng 🌤️ xem lẹ lỡ xoá:))),[0]
13409,Nguyễn Đạt đơn hàng lớn gần 1 triệu thì phải cẩn thận thôi. Đó là luật chơi. Ko chơi được thì chịu thiệt.,"[25, 26, 27]"
you001703,"chị ơi, e muốn nói là : một ng mẹ luôn luôn đánh chửi , than phiền về cuộc sống hằng ngày và đổ hết trách nhiệm lên một con bé mới học lớp 5 thì sao ạ ?","[14, 20]"
you001317,video rất hay. cảm ơn thầy đã chia sẻ,"[9, 2]"
335,hút cần xong đúng là đời toàn màu hồng em nhỉ . nói chậm vãi :)))),"[0, 2]"
28887,Phuc Phan nhưng mà khứa trai hòm hôm nay chạy kpi chưa đủ nên quyết kiếm chuyện mong đạt kpi,"[25, 24]"
20907,Minh Lê kiểu k hiểu chuyện gì đang xảy ra 😂,"[0, 15]"
32077,Cảnh này bây giờ nhìn giống Angola hiện tại quá!,[12]
tik004486,mong gia đình vượt qua khó khăn ❤️❤️❤️,"[4, 6, 3]"
tik011798,Cuộc đời ta ko có gj hối hận chỉ có những tiếc nối mà mình chưa hoàn thành 😌😌🥺,"[18, 21]"
14779,Sót xa quá thương quá 😭 tất cả phải vì tình người nữa chứ ( cháu nhỏ ) chúc các bạn gặp nhiều may mắn có quý nhân,"[5, 6, 21, 22]"
you003250,"Thật sự lúc đầu còn nhỏ thì em cũng khá mạnh dạn trong giao tiếp nhưng dần dà lớn lên gặp một số vấn đề tâm lý nhất định cộng với việc người lớn bảo cái này không được cái kia không được nên em bắt đầu thu mình lại. Vì vậy ngày càng lớn người nhà em lúc nào cũng bảo em phải vượt qua sợ hãi, phải bản lĩnh lên các thứ tuy nhiên chẳng chỉ dẫn em cách để làm hay là đưa ra một lời khuyên nào cả, chỉ đưa ra một lời nói suông khiến em rất bối rối không biết hiện tại nên làm như thế nào.😔😔","[18, 20, 15, 21]"
3412,per chơi với con trai riết nên giờ đéo có người yêu nổi vì tính tình không khác gì con trai,[27]
tik013035,nên học lại thpt hay vẫn tiếp tục học nghề ☺️,"[14, 15]"
tik017254,đối với t ngũ quan đầy đủ là đẹp✌️,"[5, 27]"
26555,Sáng em còn thấy cái nick phụ duet lại cải nhau với mấy tiktoker khác giờ  vô lại  nick phụ thấy xoá hết rồi,"[13, 20, 25]"
2928,thế là dấu ấn lịch sử và hình tượng thằng gù nhà thờ đức bà của nước pháp đã thành tàn tro :(,"[20, 21, 22]"
tik014309,to tự ti lắm nên chẳng dám nch nhiều vs mn:((,"[17, 19]"
30734,May quá đọc mà lo quá luôn. Bác sĩ quá tuyệt vời. Biết ơn vô cùng,"[2, 9, 10]"
23461,Thien Giang thôi sợ r🙏🏼😁🫣,"[0, 10, 16]"
1310,cho bạn trai uống nước này nhé 😌,"[2, 6, 10]"
1065,nếu người ta sai thì gọi công an xử lý còn không thì bạn không có quyền nhé,"[24, 25]"
17148,Xem trang của  cháu mà Cô  khóc sưng cả mắt,"[21, 22]"
tik017077,"t khi xem ảnh chung của lớp t thấy tự tin cực, t xau nhat trong lop ấy🤓","[21, 19]"
14136,phim như con kẹt,"[23, 25]"
6984,Cách sử lý vấn đề chính là sử lý cái gì gây ra vấn đề,"[27, 12]"
4401,cái này chỉ sướng mấy anh đèo mấy em ngực bự đi đường này nẩy tâng tâng,"[26, 25]"
2078,"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl","[0, 2]"
11348,"Trước khi đóng cửa xe, cô giáo và xế ko kiểm tra lại 1 lượt , ko rút ra dc bài học kinh nghiệm từ vụ bé trai ở Hà Nội để cẩn trọng hơn thì chỉ có ngồi nhà đá ăn cơm nhà nước nuôi mới nhớ dc, xót thương cho cháu bé chết oan uổng, đau xót cho gia đình nạn nhân","[22, 24]"
x000218,@TvNhinhi cảnh này thật tuyệt vời,"[2, 1]"
you001592,"Mình học ngành QTKD , tốt nghiệp cũng được 2 tháng rồi nhưng bản thân cảm thấy đã học sai ngành và muốn làm về sự kiện nhưng chân ướt chân ráo chuyển ngành , không có 1 tí kinh nghiệm , CV thì cũng ko đến nổi tệ , tiếng anh cũng có nhưng apply biết bao nhiu chổ vẫn ko ai phản hồi , cảm thấy bất lực thật sự 😢","[17, 18]"
tik003777,"Trời ơi,xem xong clip này, tôi phải suy ngẫm lại,từ rày về sau tôi sẽ kg tiêu xài phung phí nữa 🤔thích gà lang thang từ YouTube qua bên đây luôn 👍","[12, 18]"
3436,đau nếu còn nghĩ về nhau thì hãy quay về bên nhau :)),"[4, 21]"
you001621,"Em cảm ơn chị hôm nay em tiêu cực nghĩ muốn biến mất,cảm ơn ạ❤️",[9]
tik001684,Mà mặt mộc bả đẹp á chứ 😳,[8]
4339,"per tải thử cái này cho cún đi chị , hay phết này","[0, 2]"
32952,"Cha vừa tỷ phú vừa tổng thống, vừa con tổng tài kiêm chính trị gia, nội cái gia thế thôi đã vi diệu rồi, thêm cái mặt cỡ đó, còn cao hơn 2m nữa. Hóa ra ngôn tình không hề ảo ma","[0, 8]"
tik024141,+1000 công lực,"[11, 1]"
tik021839,Chuẩn ✅,[11]
24580,Đa phần 1 đi ko trở lại,"[20, 21]"
14793,Thầu mà làm vậy thì làm ăn xao phát đạt được mong CA bình dương vào cuộc để lấy lại tiền công và giay tờ cho vợ chồng e,"[20, 24, 4]"
27596,May May con dao 2 lưỡi biết sao mà lần,[20]
1586,tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢,"[21, 4]"
x000640,"@Hien2021 chuẩn luôn nha bro, đã trải qua rồi. nhận ra chẳng gì là mãi mãi","[12, 11]"
tik022329,@Thu Phương @ThanhhhhNgaaaa 🤨🤨🤨,[15]
4532,giờ còn thể loại dâm ô nam sinh mới ghê :))),"[0, 23]"
you000570,"a chia sẻ về tiền số và tương lai của thị trường tiền số dc ko, liệu Vn sẽ có những biện pháp nào với thị trường tiền số ? E cảm ơn","[14, 4]"
you000092,"Muốn mở công xưởng hay mọi cái đều dễ , tạo một đế chế cho mình cũng được , Việt Nam đất chật người đông , chanh nhau từng viên gạch , đi đường nhiều khi còn xô vào nhau , âm binh nặng lắm",[25]
3807,tao cũng muốn học vẽ lắm :( cơ mà không có điều kiện để đi học,"[4, 20, 21]"
6864,nấu có cháy mới ngon :)) còn nước cơm hoà với đường thì toẹt vời,"[0, 2]"
2384,hỡi thế gian tình ái là chi mà đôi lứa nguyện thề sống chết ? 😁😁,"[0, 2, 3]"
tik001333,Tại sao anh Pakistan lại gọi cho Ny bằng số điện thoại,[14]
23119,Trọng Thắng tôi k có bạn trai cũ ông ạ 🥲,[21]
32122,Bao nhiêu kỷ niệm lại ùa về,[3]
tik023910,Ngạo nghễ VN😍,"[7, 3]"
30176,Làm cái đơn phá hoại tài sản. Tạm giam vài tháng. Người nhà nó qua năn nỉ rút đơn thì lúc đó tha hồ dựng rạp. Dựng vô nhà nó luôn cũng đc 🤣,"[0, 26, 25]"
3672,mình chỉ quan tâm cái quần bạn chồng mặc màu hường hình cô gái ????,"[0, 14, 13]"
tik015146,"đang nch xong mk có cười 1 cái thì mn có nhìn mặt mk , tự nhiên tự ti ngang lãng đi chỗ khác😢","[19, 21]"
1262,ngày trước nấu cơm . đun rơm . đốt được hơn 10p mới nhớ ra chưa cho nước . hỏng cả nổi cơm huhu,"[20, 21]"
5772,"những hành động đẹp , đáng được trân trọng , và sẽ được lan tỏa ở mọi nơi , thật tuyệt vời 😍","[2, 8, 3]"
1287,cần tìm gấp bạn trai đáng yêuc như anh này trời đất ơi =)),"[4, 0]"
14856,"Văn Minh Nguyễn thế địt mek mày. Ổng nói sai à. ?  Đừng có phủ nhận thành quả, đừng nhìn từ lỗ đít nhìn lên","[24, 25]"
17260,"Chí Cương thế giờ t đăng bài 1 cái bài như vậy
———————————-
Cậu bé di game về nhịn ăn nhịn uống không chịu học hành ngồi nằm ghế 🪑 và có suy nghĩ tiêu cực
( Đấy bạn giải thích như nào - không thể vì 1 cái ảnh mà đánh giá cả 1 nền giáo dục nước nhà ) 
Từ cái thằng viết bài tới cái thằng gửi ảnh này lên - 
Thứ nhất là nhạt
Thứ hai là câu view rẻ tiền 
Vô vị",[25]
tik013362,"Tôi thất bại , Ko còn j để tả nổi nữa","[21, 20, 22]"
1070,nhà có người già vui thật nhỉ 🤣👍,"[0, 2, 11]"
6420,nếu tao được gặp ba tôi 1 lần nửa thì tao sẻ nói con thw ba nhìu lắm . nhưng lời nói này chẳng pao giờ được nói nửa vì tao và ông ấy đã xa nhau mãi mãi,"[18, 21, 22, 20]"
3920,hay cực,"[2, 1]"
19403,Hoài Thu má 😢😢,"[21, 22]"
16375,Thu Hang ua? Rồi ko biết gọi đt cho CA? Ko biết chạy đi gọi nhiều người tới hả?,"[24, 26]"
3702,"chỉ có bọn nông dân mới nghĩ ra mấy trò này , phải con cháu nhà tao thì tao đến từng nhà 1 bắt từng thằng ăn cứt","[24, 23]"
you003689,"1 câu cho em trai này, đừng quan trọng bạn gái, phụ nữ cứ vui vẻ bình thường, có đi với gái thì nói chuyện bad bad vui vui tí, cứ sinh hoạt đi chơi với nhiều gái lên nhưng quan trọng là đi với gái đừng nghĩ nó sẽ là bạn gái mình cứ nghĩ là bạn bth thôi, tự khắc lúc đó bạn sẽ có aura và từ từ cuộc sống sẽ tốt gái theo sẽ nhiều sẽ có nhiều sự lựa chọn, nam nhi mà em trai, cố lên","[6, 5]"
81,"bắt cóc như chơi đó mậy , be careful","[16, 17]"
5951,ui nghe ấm thế,"[2, 6]"
16673,"Mấy lần đi bv mình cũng gặp nhiều cô chú dth. Rất là thích mấy story v luôn, chủ tus dth too","[0, 8, 3]"
30215,Luân Nguyễn ai cho dựng rạp ra đấy mà làm đơn.:)),"[25, 0]"
you002686,Ôi dồi ơiiii như hạn hán gặp mưa vậy Giang ưiiii<br>Đúng cái em cần ngay lúc này 😞,[11]
21455,"Sự tàn nhẫn của công ty này còn ghê rợn hơn tai nạn của cô nhân viên nữa.
Quá kinh khủng khiếp.","[23, 24]"
156,cần lắm nhiều vụ ly hôn như thế 😂😀😀😁🤣🤣,"[0, 2]"
tik012368,Không hẳn là hối hận nhưng có chút tiếc nuối😔,[18]
2608,"hồi nhỏ chỉ khi nào mẹ làm bánh tai yến thì mới dùng tới bếp dầu hôi này , không là bỏ tủ để dành",[27]
23923,"Mặc set đồ đen. Đánh son trầm. Bắt thần thái phải tươi cười 🤦🏻🤦🏻🤦🏻
Khi nào nó mặc bộ kitty mà không cười hãng hay =)))","[0, 25]"
28858,Nguyễn Sin a yên tâm đi đi e ỡ nhà e kiếm thằg khác ném đá tiếp 😂😂,"[0, 25]"
2260,cụ í đỗ sai thì mợ cứ báo chính quyền thôi,"[27, 25, 26]"
5169,một sinh vật xinh đẹp và hiền lành . tiếc cho nó quá,"[8, 21, 22]"
tik004535,16 tỷ mà giúp những hoàn cảnh zay thấy đáng hơn,[5]
2938,cái này thì ai chả đau lòng trời,"[21, 22]"
tik014988,ngại nhất là khi nch mà ngta k nhìn thẳng vào mắt mình mà lại nhìn khuyết điểm trên gương mặt,[19]
2204,đẹp quá v 😍😍,"[2, 8, 3]"
you005325,1 a thợ có tâm và đầy trách nhiệm,"[8, 11]"
3602,yên tâm đi ông trời không bất công với ai đâu,"[5, 10]"
27663,Lee Tuấn hảo cán bộ 🤣,[0]
x001065,@huynhtuan8200 Chắn chắn sẽ như vậy bác nhé,"[11, 5]"
5016,dume thằng ghép nhạc nhé ????????,[25]
tik011821,xa ngã vào những trò đỏ đen 😔,"[18, 21]"
30786,Mỹ Linh thấy tội nghiệp bé quá,"[6, 21]"
3287,"quá bản lĩnh luôn , người đáng nể , tiếc là anh ấy sắp bị tử hình rồi","[8, 20, 21, 22]"
2685,mới mua p30 luôn,"[1, 2]"
tik014375,thề tự ti lắm í ..❤️‍🩹😭,"[19, 21]"
23825,Giống suy nghĩ hiện tại của mình quá. Cảm ơn vì được sống và có thể làm việc tiếp,"[2, 9]"
18185,Thương qá là thươngg,"[21, 22, 6]"
tik011796,Hối hận,[18]
tik023834,em thắc mắc tại sao mình lại k bị ảnh hưởng của TQ trong khi chữ quốc ngữ chúng ta bâyh bắt nguồn chứ Hán TQ vậy ạ!!,"[14, 15]"
19387,Sắp sửa có vụ ché.m bác sĩ rồi :))),"[0, 1, 2]"
5246,nhìn hói mà thấy thương gê ??,"[6, 21]"
3781,"ở trên mái sảnh nhà tao cũng có một con nhện mẹ tao bảo tao giết nó ( hờ hờ ) , còn bố tao bảo "" mày cứ đi qua là nó rơi giữa đầu ""","[0, 17, 16]"
tik019224,Không phải ngại mà là họ là người thư giãn,[27]
tik019240,thề ở với tụi nó quẩy hết mình tưởng như đã hóa thú,"[0, 1]"
tik012016,hối hận vì tôi đã chọn sai vợ 13 năm rồi rời xa nhau,[18]
tik007872,Máy bà còn sống xin vía bà sống lâu đến lúc tui đỗ Đại Học,[4]
4387,per mày phải thấy may mắn khi cuộc đời mày được gặp tao :))),"[0, 7]"
1016,tôi thấy tương lai của tôi trong bức ảnh này :d,"[2, 5, 1, 0]"
21974,Tại mấy thứ phụ huynh hãm như này nên giờ tụi con nít mới bị anti đó 😅 Con nít k biết gì nhưng ba mẹ nó thì thừa sức biết,[24]
26272,Vân Annh bọn này đáng sợ lắm . Trc chỗ mình cũng có vụ có thằng thông chốt đâm vào chị bầu 5th . C ấy ngã saythai . Nhà còn hiếm muộn chạy chữa 13 năm trời ms đc đứa con . Mà ngã mất luôn con . Th ranh con í còn chạy . Sau có cái oto đánh lái ngang ra để th báo con đâm vào hông xe mới bắt đc nó đấy b,"[16, 23, 24]"
5177,"đúng mất vài giay để nói lời yêu thương , nhưng phải mất cả đời mới chứng minh được , cháu rất ngưỡng mộ ông bà !","[3, 8]"
1032,cười như cục cức trôi sông lạc chợ 😏😏👌,[23]
tik023038,Còn nữa 😁 VN đứng thứ 92 trong bảng xếp hạng fifa Thế Giói 🥰😂,"[0, 23]"
you001671,"Em đang làm ở 1 môi trg mới, thật sự ban đầu rất vui vẻ và tích cực, sau nhận ra đồng nghiệp thì toàn sống giả tạo và hiểu sai về bản thân, có lẽ chẳng trách ai được ngoài bản thân mình. Chắc em cần phải bỏ ngoài tai, dont care những gì đang diễn ra, học cách im lặng, ngậm miệng lại và rồi cố gắng phấn đấu","[12, 18, 20, 21]"
you001503,Cám ơn thầy ạ,[9]
6777,a độc thân nè không có ai để nắm tay gọi là thử coi .. hihihi chúc em luon vui ve em nhé ...,"[2, 3]"
7017,Trang Trần 🤣🤣🤣 k tin lắm,[0]
tik011903,"Hối hận vì k nghe lời bố mẹ đánh đổi cả 15 năm thanh xuân để lấy một thằng tồi,,🥺",[18]
816,per biết không :))),"[0, 14]"
you003200,nói thật luôn ngày xưa tôi tự ti đến mức k dám mở miệng trong lớp,"[21, 18]"
5894,cái cuối phê vãi,"[0, 1]"
14674,Tết Công gô,"[27, 0]"
16629,Quá trời dễ thương,"[0, 2, 3]"
3918,thì ra nó là như này à,"[12, 13]"
5678,cho ̣ c mù mắt tao đi 🤣🤣,[0]
19718,10đ cho anh Grab,"[9, 8, 11]"
you002453,Các bạn nghĩ sao nếu 1 người đàn bà 30tuổi có 1 đứa con 6tuổi  (1 bà mẹ đơn thân ) mà hiện tại đang có 1 cái bụng bầu với người yêu cũ  và người đó đang có gia đình khá hạnh phúc. Mình chỉ cần 1 lời khuyên là nên giữ hay bỏ  cái thai  di nhiên là thu nhập của mình Ko đc ổn định và người đó cũng khuyên mình hãy bỏ đứa bé vì anh ta muốn bảo vệ hạnh phúc gia đình mình .😣,"[4, 15, 21, 20]"
26257,Minh Vo phải nó mù thì dùng từ ngộ sát đx này nó đâu có mù mà tông vào ngta,"[24, 25]"
15248,Chúc mừng ạ,[2]
tik003418,mình xin địa chỉ được kg mình muốn đến giúp it,"[6, 4]"
6371,crush hôm nay đeo khẩu trag không thấy nó cười mà nhìn mắt dể thương vãi ra 😂,"[0, 2, 4]"
tik023584,nhìn tên t,[27]
you005363,Thử kiểu nay đau tim . Toát mồ hôi .😆,"[0, 13]"
32911,Phương Linh hk những đẹp mà còn giỏi nữa á,[8]
33676,Ngọc Trang ran kiếm chồng  vậy  nè con gái,[6]
4942,cay mắt,"[21, 25]"
31062,"Lê Thùy Dung Rồi chủ có ra đền tiền chích ngừa ko bạn, chứ chổ mình ở chó cắn 45 ngày chị đó mất luôn á. Sợ lắm luôn cho nên VN nên có luật bắt hết chó thả rong. Có trường hợp chết người mà có chủ nào dám nhận chó mình đâu","[16, 26]"
31649,Phóng chim nhưng lại ăn thịt gà :)),[0]
14161,Nam mô a di  đà phật,[27]
4819,ấm hơn cả người yêu :)),"[2, 3, 1]"
21379,A di đa phât 🙏🙏🙏,[9]
2571,công khai biết sai sao vẫn làm .,"[24, 25]"
tik017807,Đi ỉa tôi cũng ngại 🤡,"[0, 19]"
4590,tao tưởng nó té cái đùng chứ . làm ngồi chờ mãi mỏi cả mắt,"[20, 25]"
tik004525,hoàng cảnh này mấy nhà tự thiện đáng làm rất hay lắm,"[11, 6]"
6243,bị từ chối rồi,"[20, 21]"
5711,hy vọng mọi điều tốt đẹp sẽ tới,"[5, 4]"
32147,Hạnh Sino có tiền cũng ko mua được tuổi thơ m nhỉ,"[21, 12]"
6663,"động lực là tình yêu . vì sau khi chia tay , tôi đã thấy mình vô dụng trong một thời gian dài .","[20, 21, 3]"
18156,Ôi con của chị Vân à Phương. Không ngờ luôn á,[13]
29670,Mua em này để trải nghiệm thôi ! Thực ra thì cũng hơi bất tiện ☺️,"[0, 27, 20]"
you005574,Không biết ôtô sau chứ bên máy giặt em làm là nhìn cái biết con ốc có phải của máy hay ko .của máy thì nằm ở vị trí nào trong máy liền,"[14, 15]"
tik010657,còn bà thì trân trọng nha cậu đừng để như tôi nhìn nội mất mà vẫn chưa kịp lớn để nui nội 😭🥹,"[21, 22, 18]"
5008,cảm thấy mình thất bại :((,"[20, 21]"
19987,Trời má...như trong phim dị.😬,"[13, 17, 16]"
you000567,"bạn hay có cái từ ĐÚNG KHÔNG ở cuối mỗi câu, bỏ đi or dùng đúng lúc được nội dung bạn truyền đạt nó mượt mà hơn.","[25, 26]"
3286,đáng nhẽ nên làm việc này từ sớm . chứ hàn quốc họ làm từ lâu rồi ạ,"[20, 25]"
3981,có mà ngược lại ... thời thế thay đổi rồi,"[12, 26]"
you002162,Huhu chị ơi em rất thích nói tiếng anh nhưng khi nói lại sợ mình nói sai ngữ pháp! Chị ơi nói sai ngữ pháp có sao không ạ ? ... huhu,[17]
x001530,"@LinglingVNWL Yên tâm rồi 

NARS X LINGLING KWONG
#NARSSerumCushionxLingling
#linglingkwong #หลิงหลิงคอง‌",[10]
thr000354,"Sau chia tay, bạn có thể buồn, khóc như điên, suy sụp, hoảng loạn nhưng hãy giữ cho mình 1 chút lý trí. Người ta nói níu người muốn ở lại chứ đâu ai lại đi níu người muốn rời đi. Bạn đã yêu họ hết lòng nhưng họ với bạn lại không như vậy thì đó đâu phải lỗi do bạn. Họ rời bỏ bạn thì bạn chỉ -1 người không yêu thương bạn, còn họ mất bạn là mất +1 người yêu thương họ. Mình biết khoảng thgian mới chia tay đáng sợ nhường nào, mình cũng không biết phải vượt qua như thế nào nhưng mình cũng phải tạm gác","[12, 5, 6]"
18963,Sasimi hân hạnh tài trợ chương trình này 😆,"[0, 2]"
13798,"Sao lại dã man thế, khổ thân em.",[21]
you003722,Tuổi trẻ như vậy là bình thường. Sau này vượt qa rồi sẽ mạnh mẽ và trưởng thành hơn,[5]
2095,giao lưu tí không . tự bấm chứ không mua =))),[0]
30197,Phương Thảo thế lỗi của thằng viết bài rồi 🤣🤣🤣,[0]
11345,"trách nhiệm của nhà trường nhé, mạng ng chứ đùa à. để quên trẻ trên xe","[25, 24]"
30828,Khanh Nguyễn ghê qua c à may gặp đc bác sỹ tốt,"[9, 10, 23]"
tik012076,Chọn nhầm người,[18]
tik013342,"Ê hàng xóm nè ,s402 hay 03 đây",[14]
you004775,Kiếm anh jack á,[0]
6241,"tính tao tao biết , chẳng có chuyện gì có thể làm tao phát điên cả",[12]
4868,bạn nào cần bạn thân là con trai không :)),"[14, 3, 15]"
tik013547,"Ham chơi,ko nghe lời cha mẹ,bướng bỉnh,cái tôi quá lớn!giờ 30 rồi chật vật lắm mấy bạn à!Những bạn trẻ đọc được bình luận này cố gắng khi còn trẻ","[18, 21]"
tik017363,bt xấu r nhưng sống vì mình thôi😊,[5]
x000020,@nguoidamchiase Không đi thì sẽ không bao giờ thấy lối thoát. Hay 👍,"[11, 5]"
25716,Trần Q.Anh vâng nhưng cũng phải kỷ luật như nhau thì dân mới an tâm vs mấy anh thanh niên cứ gồng hết cơ đít lên để ga c ạ 😂😂,"[0, 25]"
1083,chảy cả nói chuyện mắt,[27]
